time,streamflow_cms
2004-10-30,29.848837
2004-10-31,29.541002
2004-11-01,29.23109
2004-11-02,28.918785
2004-11-03,28.60381
2004-11-04,28.286007
2004-11-05,27.96532
2004-11-06,27.641897
2004-11-07,27.315832
2004-11-08,26.987402
2004-11-09,26.656948
2004-11-10,26.324774
2004-11-11,25.9912
2004-11-12,25.656727
2004-11-13,25.322107
2004-11-14,24.987982
2004-11-15,24.655031
2004-11-16,24.323818
2004-11-17,23.994843
2004-11-18,23.668543
2004-11-19,23.345268
2004-11-20,23.0253
2004-11-21,22.708931
2004-11-22,22.39629
2004-11-23,22.087505
2004-11-24,21.782726
2004-11-25,21.481955
2004-11-26,21.185207
2004-11-27,20.892532
2004-11-28,20.603882
2004-11-29,20.31923
2004-11-30,20.038536
2004-12-01,19.761776
2004-12-02,19.488913
2004-12-03,19.219875
2004-12-04,18.954586
2004-12-05,18.692999
2004-12-06,18.4351
2004-12-07,18.180779
2004-12-08,17.92995
2004-12-09,17.682592
2004-12-10,17.438692
2004-12-11,17.198156
2004-12-12,16.960958
2004-12-13,16.727123
2004-12-14,16.496632
2004-12-15,16.269466
2004-12-16,16.045626
2004-12-17,15.825128
2004-12-18,15.607942
2004-12-19,15.394076
2004-12-20,15.183556
2004-12-21,14.976331
2004-12-22,14.77242
2004-12-23,14.571847
2004-12-24,14.374585
2004-12-25,14.180602
2004-12-26,13.9898815
2004-12-27,13.802434
2004-12-28,13.618215
2004-12-29,13.437186
2004-12-30,13.259315
2004-12-31,13.084565
2005-01-01,12.912891
2005-01-02,12.744224
2005-01-03,12.578519
2005-01-04,12.415726
2005-01-05,12.2558
2005-01-06,12.098641
2005-01-07,11.944189
2005-01-08,11.792416
2005-01-09,11.643223
2005-01-10,11.496534
2005-01-11,11.352296
2005-01-12,11.210424
2005-01-13,11.070835
2005-01-14,10.933459
2005-01-15,10.798228
2005-01-16,10.665074
2005-01-17,10.533899
2005-01-18,10.404653
2005-01-19,10.277267
2005-01-20,10.151665
2005-01-21,10.027785
2005-01-22,9.905563
2005-01-23,9.784945
2005-01-24,9.665846
2005-01-25,9.548217
2005-01-26,9.432039
2005-01-27,9.317182
2005-01-28,9.202297
2005-01-29,9.088884
2005-01-30,8.97859
2005-01-31,8.870513
2005-02-01,8.763442
2005-02-02,8.6572
2005-02-03,8.552083
2005-02-04,8.448228
2005-02-05,8.345733
2005-02-06,8.244636
2005-02-07,8.144954
2005-02-08,8.046681
2005-02-09,7.9498267
2005-02-10,7.854394
2005-02-11,7.7603736
2005-02-12,7.667763
2005-02-13,7.5765657
2005-02-14,7.486775
2005-02-15,7.3983865
2005-02-16,7.311391
2005-02-17,7.225764
2005-02-18,7.1414914
2005-02-19,7.0585685
2005-02-20,6.9769645
